[3, 8, 6, 4, 7, 2, 5, 9, 1] 17
[2, 9, 8, 5, 4, 1, 6, 7, 3] 17
[2, 9, 4, 5, 8, 1, 7, 6, 3] 17
[2, 9, 4, 5, 8, 1, 6, 7, 3] 17
[2, 8, 9, 4, 5, 3, 7, 6, 1] 17
[2, 8, 9, 4, 5, 3, 6, 7, 1] 17
[3, 8, 6, 4, 7, 2, 9, 5, 1] 17
[2, 8, 7, 6, 5, 1, 9, 4, 3] 17
[2, 8, 7, 6, 5, 1, 4, 9, 3] 17
[2, 8, 5, 6, 7, 1, 9, 4, 3] 17
[2, 8, 5, 6, 7, 1, 4, 9, 3] 17
[3, 8, 7, 4, 6, 2, 5, 9, 1] 17
[3, 8, 7, 4, 6, 2, 9, 5, 1] 17
[2, 8, 5, 4, 9, 3, 7, 6, 1] 17
[2, 8, 5, 4, 9, 3, 6, 7, 1] 17
[3, 4, 5, 9, 7, 1, 6, 8, 2] 17
[1, 4, 6, 9, 8, 3, 5, 7, 2] 17
[1, 4, 6, 9, 8, 3, 7, 5, 2] 17
[1, 4, 8, 9, 6, 3, 5, 7, 2] 17
[1, 4, 8, 9, 6, 3, 7, 5, 2] 17
[3, 4, 5, 9, 7, 1, 8, 6, 2] 17
[2, 7, 8, 5, 6, 3, 9, 4, 1] 17
[1, 5, 6, 9, 7, 2, 4, 8, 3] 17
[1, 5, 6, 9, 7, 2, 8, 4, 3] 17
[1, 5, 7, 9, 6, 2, 4, 8, 3] 17
[1, 5, 7, 9, 6, 2, 8, 4, 3] 17
[2, 7, 8, 5, 6, 3, 4, 9, 1] 17
[2, 7, 6, 5, 8, 3, 9, 4, 1] 17
[2, 7, 6, 5, 8, 3, 4, 9, 1] 17
[3, 4, 6, 8, 7, 2, 5, 9, 1] 17
[3, 4, 6, 8, 7, 2, 9, 5, 1] 17
[3, 4, 7, 8, 6, 2, 5, 9, 1] 17
[3, 4, 7, 8, 6, 2, 9, 5, 1] 17
[3, 4, 7, 9, 5, 1, 6, 8, 2] 17
[3, 4, 7, 9, 5, 1, 8, 6, 2] 17
[3, 9, 5, 4, 7, 1, 6, 8, 2] 17
[1, 6, 4, 8, 9, 2, 5, 7, 3] 17
[1, 6, 4, 8, 9, 2, 7, 5, 3] 17
[1, 6, 5, 7, 9, 3, 4, 8, 2] 17
[1, 6, 5, 7, 9, 3, 8, 4, 2] 17
[3, 9, 5, 4, 7, 1, 8, 6, 2] 17
[3, 7, 9, 5, 4, 2, 8, 6, 1] 17
[3, 7, 9, 5, 4, 2, 6, 8, 1] 17
[3, 7, 8, 6, 4, 1, 9, 5, 2] 17
[3, 7, 8, 6, 4, 1, 5, 9, 2] 17
[3, 9, 7, 4, 5, 1, 6, 8, 2] 17
[1, 6, 9, 7, 5, 3, 4, 8, 2] 17
[1, 6, 9, 7, 5, 3, 8, 4, 2] 17
[2, 6, 7, 8, 5, 1, 9, 4, 3] 17
[2, 6, 7, 8, 5, 1, 4, 9, 3] 17
[3, 9, 7, 4, 5, 1, 8, 6, 2] 17
