-No-  Hi  Lo  Artist's Name
 903   1   0  Shannon, Del
 904   0   1  Shatner, William
 905   2   0  Sheeran, Ed
 906   1   0  Shelton, Blake
 907   1   0  Shenandoah
 908   2   0  Shinedown
 909   3   0  Shins, the
 910   1   0  Shocked, Michelle
 911   1   0  Sia
 912   0   3  Sick Puppies
 913   2   1  Silverchair
 914  11   0  Simon and Garfunkel
 915   2   0  Simon, Carly
 916   9   2  Simon, Paul
 917  11   0  Simone, Nina
 918   2   0  Simple Minds
 919   1   0  Simply Red
 920   1   0  Simpson, Martin
 921   1   0  Siouxsie And The Banshees {whr}
 922   3   1  Sister Hazel
 923   1   2  Sister Sledge
 924   1   0  Skaggs, Ricky & Kentucky Thunder
 925   2   0  Skrillex
 926   6   0  Slash
 927   1   1  Slayer
 928   1   0  Sledge, Percy
 929   1   0  Slipnot
 930   9   0  Sly And The Family Stone
 931   2   0  Smash Mouth
 932   6   3  Smashing pumpkins
 933   5   0  Smith, Patti
 934   1   0  Smiths, the
 935   0   2  Snoop Doggy Dogg
 936   3   0  Snow Patrol
 937   1   0  Soul Coughing
 938   3   1  Soundgarden
 939   0   1  Soup Dragons, the
 940   5   0  Sousa, John Philips
 941   2   0  Spalding, Esperanza
 942   3   0  Spears, Britney
 943   4   0  Spector, Phil
 944   4   0  Spektor, Regina
 945   1   0  Spin Doctors
 946   3   0  Spoon
 947   1   0  Springfield, Buffalo
 948   1   0  Springfield, Dusty
 949   9   4  Springsteen, Bruce
 950   1   0  Squeeze
 951   3   0  St Marie, Buffy
 952   2   0  Stabbing Westward
 953   2   0  Staind
 954   1   0  Standells, the
 955   5   0  Stanley Brothers, the
 956   3   0  Staples, Mavis
 957  30   0  Stax
 958   1   0  Steeldrivers, the
 959   6   0  Steely Dan
 960   2   0  Stefani, Gwen
 961   1   0  Steffenwolf
 962   1   0  Stereolab
 963   6   0  Steve Miller Band, the
 964   3   0  Stevens, Cat
 965   4   0  Stevie Wonder
 966   1   0  Stewart, Al
 967   5   1  Stewart, Rod
 968   4   0  Stiff Records
 969   4   0  Sting
 970   2   0  Stirling, Lindsey
 971   1   0  Stone Roses, The 
 972   1   3  Stone Temple Pilots
 973   4   0  Stooges, The
 974   0   1  Streetlight Manifesto
 975   0   2  Strokes, the
 976   5   3  Styx
 977   0   1  Subdudes, the
 978   2   7  Sublime
 979   1   0  Sublime with Rome
 980   2   2  Sugar Ray
 981   2   0  Summer, Donna
 982   2   0  Sun Ra
 983   3   0  Sun Records
 984   1   0  Superchick
 985   2   0  Supertramp
 986   1   0  Sweet Honey in the Rock
 987   1   0  Sweet, Matthew
 988   1   0  Swift, Taylor
 989   0   1  Swingfield Big Band, The
 990   6   0  Switchfoot
 991   2   3  System of a down
 992  10  28  Soundtracks Various Artists
 993   1   0  T. Rex
 994   0   1  T.I
 995   3  10  Talking Heads
 996   2   0  Tamia
 997   1   0  Tank Girl
 998   1   0  Tankian, Serj
 999   7  12  Taylor, James
1000   0   1  Taylor, Paul
1001   2   0  Tears For Fears
1002   1   0  Temple Of The Dog
1003   8   0  Temptations, The
1004   0   1  Tender Love
1005   5   2  Tesla
1006   5   1  Tharpe, Sister Rosetta
1007   0   4  They Might Be Giants
1008   1   2  Thin Lizzy
1009   2   2  Third eye blind
1010   0   2  Thomas, Carl
1011   1   0  Thompson Square
1012   1   0  Thompson Twins
1013   6   0  Thompson, Richard
1014   1   0  Thompson, Richard & Linda
1015   1   0  Thorogood, George  & The Destroyers
1016   2   0  Three Days Grace
1017   1   1  Three Dog Night
1018   1   0  Thundercat
1019   2   0  Tisdale, Ashley
1020   1   0  TLC
1021   5   4  Tomita, Isao
1022   5   1  Tool
1023   0   2  Toots and the Maytals
1024   1   0  Tosh, Peter
1025   2   0  Tower of Power
1026   0   1  Townsend, Pete
1027   5   1  Traffic
1028   0   3  Tragically Hip
1029   1   2  Train
1030   2   0  Trainor, Meghan
1031   3   0  Trans-Siberian Orchestra
1032   2   0  Traveling Wilburys, The
1033   1   0  Travis
1034   1   1  Triumph
1035   0   1  Trower, Robin
1036   1   0  Tunstall, KT
1037   1   0  Turner, Big Joe
1038   3   0  Turner, Tina
1039   1   0  Turtles, the
1040   1   0  Twenty One Pilots
1041   0   1  Twista
1042   1   0  Twisted Sister
1043   1   0  Tyminski, Dan
1044   1   0  Type O Negative
1045   0   4  Tyrese
1046  20   6  U2
1047   1   0  Uncle Tupelo
1048   0   1  Urban Dance Squad
1049   1   0  Urban, Keith
1050   1   0  Uriah Heep
1051   6   1  Usher
1052   1   0  Vai, Steve
1053   1   0  Valens, Ritchie
1054   4   0  Valli, Frankie & the 4 Seasons
1055   2   0  Vampire Weekend
1056  10   3  Van Halen
1057   2   0  Van Zant
1058 141  51  Various Artists
1059   4   4  Vaughan, Stevie Ray & Double Trouble
1060   2   0  Vega, Suzanne
1061   1   0  Velvet Revolver
1062   3   0  Velvet Underground, the
1063   1   1  Vertical Horizon
1064   1   0  Veruca Salt
1065   1   0  Very Best, The
1066   2   0  Vile, Kurt
1067   1   1  Village People, the
1068   2   0  Vincent, Rhonda
1069   2   0  Vinton, Bobby
1070   2   1  Violent Femmes
1071   5   0  Wainwright, Rufus
1072   2   0  Waits, Tom
1073   1   0  Walela
1074   1   0  Wallflowers, the
1075   4   0  Walsh, Joe
1076   2   0  War
1077   1   0  Warrant
1078   3   0  Warwick, Dionne
1079   1   0  Washburn, Abigail
1080   3   0  WASP
1081   1   0  Waters, Muddy
1082   3   0  Waters, Roger
1083   5   0  Weather Report
1084   4   0  Weavers, the
1085   4   0  Webber, Andrew Lloyd
1086   7   0  Weezer
1087   0   1  Wells, Junior
1088   3   0  West, Kanye
1089   3   0  White Stripes, The
1090   0   1  White Zombie
1091   2   1  White, Barry
1092   1   0  White, Jack
1093   5   1  Whitesnake
1094  17  13  Who, the
1095   1   0  Wicks, Chuck
1096   1   1  Widespread Panic
1097   3   1  Wilco
1098   2   0  Williams, Hank
1099   1   0  Wilson, Cassandra
1100   1   1  Wilson, Gretchen
1101   1   0  Wilson, Jackie
1102   1   0  Wilson, Nancy
1103   1   2  Winston, George
1104   2   0  Winter, Johnny
1105   1   0  Winter, Paul
1106   3   0  Wishbone Ash
1107   8   6  Wonder, Stevie
1108   1   0  Wright, Gary
1109   0   3  Wu-Tang Clan
1110   1   0  Wyatt, Robert
1111   3   1  XTC
1112  33  13  Xmas Various artists
1113   1   0  Yamin, Elliott
1114   1   0  Yankovic, Weird Al
1115   1   2  Yanni
1116   3   0  Yardbirds, the
1117   1   0  Yaz
1118  13   0  Yes
1119   1   0  Ying Yang Twins
1120   2   0  Yo La Tengo
1121   9   0  Young, Neil
1122   2   0  Youngblood, Mary
1123   2   0  Zac Brown Band
1124   2   0  Zappa, Dweezil
1125  11   0  Zappa, Frank
1126   7   0  Zevon, Warren
1127   6   0  Zombie, Rob
1128   1   0  Zombies, the
1129   1   0  Zwan
1130   9   0  ZZ Top
1131   0   1  ZZZ Unsorted
Number Lo-Res albums:  896
Number Hi-Res albums: 3210
Total Number  albums: 4106
