-No-  Hi  Lo  Artist's Name
 212   0   1  Como, Perry
 213   0   1  Concrete  Blonde
 214   0   1  Connick, Harry Jr
 215   1   0  Cooder, Ry
 216   9   0  Cooke, Sam
 217   0   1  Cooper, Alice
 218   2   0  Corboz, Michel
 219   1   1  Corrs, the
 220   1   0  Cosmic Messenger
 221   3   1  Costello, Elvis
 222   5   1  Counting Crows
 223   1   0  Country Joe and the Fish
 224   4   0  Cowabunga Sets 1-4
 225   0   1  Cracker
 226   1   0  Cramer, Floyd
 227   4   1  Cranberries, the
 228   1   0  Crawford, Randy
 229   7   0  Cream
 230   4   0  Creed
 231  10   5  Creedence Clearwater Revival
 232   2   0  Croce, Jim
 233   4   0  Crosby, David
 234  10   1  Crosby, Stills & Nash
 235   1   0  Crossfade
 236   3   0  Crow, Sheryl
 237   1   0  Crow, The
 238   1   0  Cruz, Taio
 239   1   0  Crystal Method, the
 240   1   0  Crystals, the
 241   0   1  Culture Club
 242   5   0  Cure, The
 243   1   0  Curren$y
 244   1   1  Cypress Hill
 245   0   7  Cyrus, Miley
 246   1   0  Amsterdam Guitar Trio
 247  29   1  Beethoven
 248   1   0  Handel, Georg Feiedich
 249  21   0  Haydn, Joeseph
 250   2   0  Holst
 251   2   0  Indiana University
 252   5   0  Kempff, Wilhelm
 253   1   0  Kogan & Oistrakh
 254   1   0  Lanz, David
 255   1   0  Los Angeles Guitar Quartet, the
 256  11   1  Mozart
 257   4   0  Pachelbel
 258   4   0  Rimsky-Korsakov
 259   6   0  Schubert, Franz
 260   4   0  Segovia, Andres
 261   4   0  Stokowski, Leopold
 262   2   0  Tchaikovsky
 263   1   0  US Air Force Band
 264   7   0  Various
 265   6   0  Bruce, Lenny
 266   2   3  Lewis Black
 267   0   1  D.O.C, The
 268   0   1  D12
 269   4   0  Daft Punk
 270   0  15  Dag Nasty
 271   1   0  Dailey & Vincent
 272   1   0  Dale, Dick & the Del-Tones
 273   0   1  Damageplan
 274   0   1  Damn Yankees
 275   2   0  Damned, the
 276   0   1  Danzig
 277   1   0  Darin, Bobby
 278   1   0  Daughtry
 279   5   0  Dave Brubeck Quartet, The
 280  23   3  Dave Matthews Band
 281   8   0  Davis, Miles
 282   0   1  Day the
 283   1   0  Days Of The New
 284   2   0  De La Soul
 285   5   0  Dead Can Dance
 286   1   0  Dead Weather, The
 287   1   0  Death Cab For Cutie
 288   1   0  Death From Above
 289   4   0  Decemberists, The
 290   7   0  Deep Purple
 291   3   0  Deerhunter
 292   3   1  Def Leppard
 293   1   0  Deftones
 294   0   1  Del Amitri
 295   1   0  Dennen, Brett
 296   8   0  Depeche Mode
 297   1   0  Derek and the Dominoes
 298   1   0  DeRulo, Jason
 299   4   0  Destiny's Child
 300   0   2  Deuter
 301   2   0  Devo
 302   2   0  Di Meola, Al
 303   3   0  Diamond, Neil
 304   2   0  Diddley, Bo
 305   2   0  Dido
 306   6   0  Dio
 307   2   0  Dion, Celine
 308   6   1  Dire Straits
 309   0   1  Disney
 310   1   0  Disturbed
 311   1   0  Division, Joy
